的	d	0.042024
一	k	0.017631
是	e	0.013145
不	h	0.013050
了	f	0.013026
在	w	0.010407
我	a	0.009340
人	j	0.009287
他	l	0.009172
这	y	0.009153
有	wr	0.008829
个	jf	0.006026
大	u	0.005852
上	x	0.005649
中	o	0.005453
来	n	0.005330
地	q	0.005204
和	c	0.004932
说	dd	0.004927
为	lv	0.004850
们	lq	0.004775
到	z	0.004758
你	ls	0.004668
就	p	0.004605
也	r	0.004438
以	i	0.004256
国	s	0.004184
那	si	0.004031
要	wu	0.004023
时	em	0.004012
出	m	0.004000
着	fh	0.003927
可	t	0.003863
道	di	0.003696
之	g	0.003681
对	b	0.003621
会	jx	0.003480
自	if	0.003445
而	me	0.003346
得	v	0.003230
下	kx	0.003226
能	mr	0.003170
过	mc	0.003038
生	qj	0.003032
子	xj	0.002798
于	kw	0.002795
年	fy	0.002793
后	so	0.002770
发	mb	0.002737
都	he	0.002643
里	gh	0.002640
没	ne	0.002630
还	hc	0.002628
所	kj	0.002617
去	qm	0.002616
看	ih	0.002603
事	ko	0.002518
如	uo	0.002489
用	gu	0.002465
小	mz	0.002413
作	lx	0.002405
多	oo	0.002390
行	tu	0.002378
只	od	0.002339
成	ns	0.002334
好	ux	0.002334
家	vp	0.002325
天	ku	0.002307
她	ur	0.002305
方	gj	0.002278
然	rm	0.002239
当	mf	0.002236
心	yt	0.002218
起	fj	0.002201
种	co	0.002176
想	ah	0.002131
经	pb	0.002111
现	ha	0.002090
但	le	0.002078
法	nq	0.002068
无	jt	0.002054
同	wk	0.002048
么	am	0.002021
进	nc	0.002013
学	nv	0.002009
面	mv	0.001973
其	md	0.001972
前	dr	0.001965
已	xh	0.001923
主	lh	0.001921
从	jj	0.001915
动	xv	0.001900
分	dl	0.001897
把	ia	0.001884
开	kg	0.001875
军	vc	0.001861
又	bj	0.001833
两	lg	0.001831
本	ak	0.001820
因	su	0.001814
定	vl	0.001808
部	po	0.001794
与	ks	0.001780
将	eo	0.001724
日	ej	0.001722
长	dj	0.001707
理	hg	0.001706
三	ic	0.001704
些	fi	0.001701
实	vll	0.001690
样	af	0.001678
十	wl	0.001669
意	wy	0.001657
知	ro	0.001649
此	fif	0.001618
第	kc	0.001610
力	vy	0.001597
很	vk	0.001587
正	kf	0.001584
高	pc	0.001569
手	iz	0.001560
什	lw	0.001558
身	ck	0.001553
被	js	0.001552
它	vi	0.001544
明	er	0.001532
老	ht	0.001530
者	hej	0.001520
公	dm	0.001517
